INSTITUICAO_ENSINO_ALUNO_2020,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,FASE_2021,TURMA_2021,INSTITUICAO_ENSINO_ALUNO_2021,SINALIZADOR_INGRESSANTE_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021,FASE_2022,TURMA_2022,ANO_INGRESSO_2022,BOLSISTA_2022,INDE_2022,CG_2022,CF_2022,CT_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,IPP_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,INDICADO_BOLSA_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022,NIVEL_IDEAL_2022
Escola Pública,ALUNO-826,11,0,2L,Não,6.381112,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.00002,6.1,7.5,3.5,6.66666666666666,6.22221666666666,10,2,L,Escola Pública,Veterano,Quartzo,4.186,0,2.5,7.5,1,7.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.2,5,Nível 3 (7o e 8o ano),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-827,,,,,,,,,,,,,,,,,,0,S,Escola Pública,Ingressante,Ágata,6.733,9,5,7.5,6,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.2,5,Nível 1 (4o ano),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-828,15,4,4L,Sim,7.503891,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.2,5.625,7,8.54166666666666,8.77778666666666,5,5,L,Rede Decisão,Veterano,Ametista,7.482,9.2,7.5,7.5,7.3,8.1,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,7.7,5,Nível 6 (2o EM),-1,6,A,2016,Sim,6.25910968530021,692,13,13,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,4.8458850931677,8.125,3.83333333333333,4.66666666666667,4,2.83333333333333,4,7.96875,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Não,Não,7.27778,5,Fase 7 (3º EM)
Escola Pública,ALUNO-829,12,3,3F,Não,6.50805633333333,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,8.2,7.5,0,7.70833333333333,6.94443999999999,10,3,F,Escola Pública,Veterano,Ágata,6.418,10,3.9,7.5,3.6,7.3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.2,10,Nível 3 (7o e 8o ano),0,4,F,2017,Não,7.11760010822511,450,36,8,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,8.24945887445887,5.625,5.66666666666667,5.83333333333333,6.16666666666667,5,4,6.71875,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não,Não,5.91666,10,Fase 4 (9º ano)
Rede Decisão/União,ALUNO-830,13,3,4B,Sim,9.098615,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,10,10,7,8.95833333333333,9.22223333333333,10,5,B,Rede Decisão,Veterano,Topázio,8.506,10,7.8,7.5,7.9,8.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,8.8,10,Nível 4 (9o ano),1,5,B,2017,Sim,8.1358822962963,103,9,3,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.58335,9.24189814814815,6.25,7.16666666666667,4.5,8,9,3,6.45833333333333,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,,Não,Não,8.125005,10,Fase 5 (1º EM)
Escola Pública,ALUNO-831,11,1,0H,Não,7.889583,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,10,7.5,8.5,6.5625,6.916655,5,1,M,Escola Pública,Veterano,Ametista,7.351,9.5,10,7.5,3.6,7.7,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,8.3,5,Nível 3 (7o e 8o ano),-2,2,U,2019,Não,6.44583267590381,650,115,10,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.10415671285236,7.5,3,1.33333333333333,4.66666666666667,,3,6.25,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,5.99999666666667,5,Fase 3 (7º e 8º ano)
,ALUNO-832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,E,2022,Não,8.62014138888889,27,7,1,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.375,7.5,6.94444444444445,7,6.66666666666667,7.16666666666667,4,9.0625,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sim,Sim,8.5000025,10,Fase 3 (7º e 8º ano)
,ALUNO-833,,,,,,,,,,,,,,,,,,0,K,Escola Pública,Ingressante,Ágata,5.825,8.5,8.3,4.4,4.4,2.5,Mantido na Fase atual,Alocado em Fase anterior,Não avaliado,Não avaliado,Não,6.2,5,Nível 1 (4o ano),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-834,,,,,,,,,,,,,,,,,,3,H,Escola Pública,Ingressante,Quartzo,5.506,6.7,3.1,6.9,5.8,7.3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.7,5,Nível 4 (9o ano),-1,3,A,2021,Não,6.6145156902834,621,81,14,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,7.739245951417,7.5,4.5,3.33333333333333,5.66666666666667,4.5,4,7.5,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não,Não,6.8749975,5,Fase 5 (1º EM)
Escola Pública,ALUNO-835,11,4,2M,Não,5.032083,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0,7.9,3.125,0,6.5625,7.416665,10,2,M,Escola Pública,Veterano,Quartzo,4.335,0,5.4,5.6,1.6,7.8,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,5.4,5,Nível 3 (7o e 8o ano),-1,2,K,2016,Não,5.6614250609858,769,142,12,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,6.18212197159566,5,3.25,2.66666666666667,3.83333333333333,,3,6.25,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,5.99999333333333,5,Fase 3 (7º e 8º ano)
,ALUNO-836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,O,2022,Não,6.89444477777778,527,151,12,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,7.63888888888889,7.5,6,6,6,,2,5,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,7.333325,5,Fase 2 (5º e 6º ano)
Escola Pública,ALUNO-837,16,1,6A,Não,4.045624,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0,3.4,5,0,6.40625,6.124995,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-838,15,4,5B,Não,7.91333466666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,8.4,5,7.33333333333333,8.33333333333333,8.00000333333333,10,6,A,Rede Decisão,Veterano,Ágata,6.315,7.5,7.2,2.5,5.3,7.7,Alocado em Fase anterior,Promovido de Fase,Não avaliado,Mantido na Fase atual,Não,5.2,10,Nível 6 (2o EM),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,D,2022,Não,8.07934982608696,123,28,2,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.85507246376812,7.5,8,7.66666666666667,8.33333333333333,,3,6.25,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,8.16666666666667,5,Fase 3 (7º e 8º ano)
Escola Pública,ALUNO-840,8,1,0E,Não,7.487501,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.00002,10,4.375,10,2.5,4.499995,10,0,K,Escola Pública,Veterano,Ágata,6.598,9,8.3,4.4,6.6,5.3,Mantido na Fase atual,Alocado em Fase anterior,Não avaliado,Não avaliado,Não,6.2,5,Nível 1 (4o ano),-1,0,I,2019,Não,7.15133475599129,443,130,3,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,8.48583877995643,6.875,7.25,7.33333333333333,7.16666666666667,,2,5,Promovido de Fase,Promovido de Fase,,,Não,Não,7.083325,5,Fase 2 (5º e 6º ano)
,ALUNO-841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Y,2022,Não,6.83936507936508,543,154,9,Ágata,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91668,8.23015873015873,4.375,7.71666666666667,7.8,7.63333333333333,,2,4.375,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,7.41666,5,Fase 1 (4º ano)
Escola Pública,ALUNO-842,14,4,4L,Não,4.603611,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,3.9,4.375,0,5.83333333333333,4.22221333333333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-843,,,,,,,,,,,,,,,,,,6,C,Escola Pública,Ingressante,Ágata,6.644,7.1,7.2,5.6,7.3,6.9,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,Promovido de Fase,Não,6.5,5,Nível 7 (3o EM),-1,7,A,2021,Não,5.78393404575163,752,17,9,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,5.22696078431372,5,4.11111111111111,3.33333333333333,2.6,6.4,4,6.71875,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não,Não,7.05555333333333,5,Fase 8 (Universitários)
,ALUNO-844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,R,2022,Não,7.30833555555556,384,99,7,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.50002,8.61111111111111,7.5,6.75,5.5,8,,3,6.25,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,7.55555666666667,5,Fase 3 (7º e 8º ano)
,ALUNO-845,,,,,,,,,,,,,,,,,,3,A,Escola Pública,Ingressante,Ágata,5.683,8.8,4.4,4.4,4.5,6,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,4.9,10,Nível 3 (7o e 8o ano),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-846,17,1,7B,Não,6.98833283333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.08333,6.4,5.625,6.16666666666666,6.875,7.5833325,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,A,2022,Não,7.86202614285714,181,50,3,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.71428571428572,8.125,7.95,8.93333333333333,6.96666666666667,,2,5,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,6.333335,10,ALFA  (2º e 3º ano)
Escola Pública,ALUNO-848,12,1,2M,Não,7.432918,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.3,6.875,7,7.1875,7.58333,5,2,M,Escola Pública,Veterano,Ágata,6.85,8.5,7.9,7.5,4.9,8.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.8,5,Nível 3 (7o e 8o ano),-1,3,M,2019,Não,6.03020583333333,723,102,13,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,7.1875,7.5,3.91666666666667,3.83333333333333,4,,4,7.34375,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não,Não,5.3749875,5,Fase 4 (9º ano)
Escola Pública,ALUNO-849,10,0,1J,Não,7.85750133333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667999999999,8.6,7.5,9,7.29166666666666,7.83333333333333,5,2,R,Escola Pública,Veterano,Ametista,7.444,7.5,8.3,8.1,4.6,7.9,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Não,7.6,10,Nível 2 (5o e 6o ano),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-850,12,4,3B,Não,8.18687633333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.7,7.5,6.66666666666666,7.96875,7.25,10,3,B,Rede Decisão,Veterano,Ametista,8.151,9.2,7.5,7.5,6.6,8.1,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.3,10,Nível 3 (7o e 8o ano),0,4,B,2016,Sim,7.38820353579405,365,29,4,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,7.77678406785912,5,6.71111111111111,5.66666666666667,7,7.46666666666667,4,7.65625,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,Não,7.1666625,10,Fase 4 (9º ano)
Escola Pública,ALUNO-851,9,1,0H,Não,7.64999999999999,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,10,7.5,9,2.5,6.99999,5,1,G,Escola Pública,Veterano,Ametista,7.713,9.5,9.6,7.5,4.8,8.1,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.2,5,Nível 2 (5o e 6o ano),-1,1,L,2019,Não,8.0406766031746,134,32,4,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.68253968253968,7.5,8.58333333333333,8.33333333333333,8.83333333333333,,3,6.04166666666667,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,,Sim,Não,7.66666666666667,5,Fase 2 (5º e 6º ano)
,ALUNO-852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,I,2022,Não,7.34730592156863,377,113,2,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.00002,7.88235294117647,8.75,7.16666666666667,7.5,6.83333333333333,,2,5.625,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,7.5,5,Fase 1 (4º ano)
,ALUNO-853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,U,2022,Não,7.92860181818182,160,39,2,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.09090909090909,7.5,7.75,8,7.5,,2,5.9375,Mantido na Fase atual,Promovido de Fase,,,Não,Sim,8.83334,5,Fase 2 (5º e 6º ano)
,ALUNO-854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M,2022,Não,7.40312961840629,360,52,4,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,8.09203142536476,7.5,5.66666666666667,4.83333333333333,6.5,,3,6.45833333333333,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,6.77777333333333,10,Fase 2 (5º e 6º ano)
Escola Pública,ALUNO-855,13,0,2L,Não,7.35611266666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,7.6,7.5,8,7.08333333333333,6.88888666666666,5,2,L,Escola Pública,Veterano,Ágata,6.243,8,7.1,7.5,2.8,7.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.1,5,Nível 4 (9o ano),-2,3,M,2020,Não,6.3552075,667,89,9,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,7.6875,7.5,4.25,3,5.5,,4,7.34375,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,Sim,Não,5.5416575,5,Fase 5 (1º EM)
,ALUNO-856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,B,2022,Não,7.64165505010893,257,15,7,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.27076525054466,7.5,7.16666666666667,7,5.66666666666667,8.83333333333333,3,6.04166666666667,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,7.91667,5,Fase 7 (3º EM)
,ALUNO-857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,2022,Não,7.77976390476191,209,52,6,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.00002,9.52380952380952,7.5,7.5,6.66666666666667,8.33333333333333,,3,6.25,Promovido de Fase,Promovido de Fase,Promovido de Fase,,Não,Não,8,5,Fase 2 (5º e 6º ano)
Escola Pública,ALUNO-858,10,1,1A,Sim,8.590003,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,9.7,6.875,9.5,8.125,9.250005,5,2,A,Escola Pública,Veterano,Topázio,8.586,9.5,10,7.5,6.2,7.7,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Sim,9.4,10,Nível 2 (5o e 6o ano),0,2,D,2019,Não,6.68952187196185,591,97,6,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.39898935980926,5,4.58333333333333,5.33333333333333,3.83333333333333,,3,4.375,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Não,Não,8.27777666666667,5,Fase 3 (7º e 8º ano)
,ALUNO-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H,2022,Não,7.72916833333333,226,58,5,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,8.41666666666667,7.5,8.5,9.5,7.5,,2,5.625,Mantido na Fase atual,Promovido de Fase,,,Não,Não,7.916665,5,Fase 3 (7º e 8º ano)
Escola Pública,ALUNO-860,14,2,3C,Sim,8.44861266666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,10,7.5,8.66666666666666,8.54166666666666,8.88889333333333,5,3,C,Escola Pública,Veterano,Ametista,7.069,8.8,5,7.5,7.2,8.3,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.4,5,Nível 5 (1o EM),-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-861,14,0,3J,Não,8.080835,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.8,7.5,8.66666666666666,8.125,7.83333333333333,5,3,J,Escola Pública,Veterano,Ametista,7.724,9.2,8.3,7.5,7.7,7.7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Não,7.9,5,Nível 5 (1o EM),-2,4,H,2020,Não,6.96240929645191,498,41,5,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,6.27801120448179,6.875,6.87777777777778,5.33333333333333,6.66666666666667,8.63333333333333,4,7.1875,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Sim,Não,7.3333325,5,Fase 6 (2º EM)
Escola Pública,ALUNO-862,10,1,1J,Não,8.34583533333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.5,6.875,10,7.08333333333333,8,5,1,J,Escola Pública,Veterano,Ametista,7.99,9,9.6,7.5,6.5,8.1,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,9.1,5,Nível 2 (5o e 6o ano),-1,1,R,2019,Não,7.785336999223,206,50,6,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.50002,9.16278166278166,7.5,8.25,8.33333333333333,8.16666666666667,,3,6.25,Mantido na Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,,Sim,Sim,8.38889333333333,5,Fase 3 (7º e 8º ano)
,ALUNO-863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,D,2022,Não,8.67976357142857,16,1,1,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.19047619047619,8.125,9.41666666666667,9.56666666666667,9.26666666666667,,2,5.625,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,7.916665,10,ALFA  (2º e 3º ano)
,ALUNO-864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Q,2022,Não,7.68008375091575,240,40,3,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.00002,8.75457875457876,7.5,8.5,7,10,,3,6.45833333333333,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,,Não,Não,7.66666333333333,5,Fase 3 (7º e 8º ano)
